B05, Trade, 85687.365, 104, S05, B05, 1
B05, Trade, 85699.231, 104, B05, S15, 1
B05, Trade, 85712.096, 106, B05, S17, 1
B05, Trade, 85721.038, 94, S08, B05, 1
B05, Trade, 85733.288, 102, B05, S12, 1
B05, Trade, 85742.981, 106, S11, B05, 1
B05, Trade, 85760.846, 106, B05, S06, 1
B05, Trade, 85777.115, 104, B05, S18, 1
B05, Trade, 85783.519, 102, B05, S16, 1
B05, Trade, 85796.269, 100, B05, S17, 1
B05, Trade, 85799.135, 111, S10, B05, 1
B05, Trade, 85814.769, 105, B05, S23, 1
