B03, Trade, 86290.058, 124, S03, B03, 1
B03, Trade, 86295.981, 128, B03, S00, 1
B03, Trade, 86315.212, 121, B03, S13, 1
B03, Trade, 86320.346, 122, B03, S01, 1
B03, Trade, 86328.712, 129, B03, S24, 1
B03, Trade, 86342.846, 128, B03, S12, 1
B03, Trade, 86358.923, 125, B03, S13, 1
B03, Trade, 86371.096, 126, B03, S19, 1
B03, Trade, 86379.212, 125, S16, B03, 1
B03, Trade, 86394.481, 133, P01, B03, 1
B04, 100
B04, Trade, 85053.615, 128, B04, S19, 1
B04, Trade, 85059.538, 127, S09, B04, 1
B04, Trade, 85072.192, 130, P00, B04, 1
B04, Trade, 85086.654, 133, B04, S05, 1
B04, Trade, 85097.788, 132, S16, B04, 1
B04, Trade, 85113.942, 132, B04, S02, 1
B04, Trade, 85120.750, 130, B04, S00, 1
B04, Trade, 85136.962, 127, B04, S19, 1
B04, Trade, 85144.500, 127, S14, B04, 1
B04, Trade, 85164.731, 130, B04, S10, 1
B04, Trade, 85175.308, 132, P00, B04, 1
B04, Trade, 85189.288, 130, S08, B04, 1
B04, Trade, 85208.135, 119, B04, S24, 1
B04, Trade, 85227.635, 136, S04, B04, 1
B04, Trade, 85252.423, 133, S23, B04, 1
B04, Trade, 85264.654, 127, P00, B04, 1
B04, Trade, 85277.635, 131, B04, S13, 1
B04, Trade, 85294.192, 125, B04, S12, 1
B04, Trade, 85316.692, 131, S16, B04, 1
B04, Trade, 85333.923, 132, B04, S23, 1
B04, Trade, 85347.577, 128, B04, S01, 1
B04, Trade, 85350.808, 126, S10, B04, 1
B04, Trade, 85365.308, 127, B04, S07, 1
B04, Trade, 85377.788, 126, B04, S08, 1
B04, Trade, 85380.135, 131, S18, B04, 1
B04, Trade, 85391.000, 130, B04, S23, 1
B04, Trade, 85394.596, 132, B04, S20, 1
B04, Trade, 85409.096, 128, B04, S12, 1
B04, Trade, 85420.808, 130, B04, S00, 1
B04, Trade, 85429.846, 128, B04, S03, 1
B04, Trade, 85449.327, 125, B04, S03, 1
B04, Trade, 85452.058, 131, B04, S14, 1
B04, Trade, 85464.154, 130, S02, B04, 1
B04, Trade, 85482.423, 137, S17, B04, 1
B04, Trade, 85497.500, 126, B04, S00, 1
B04, Trade, 85500.558, 131, S16, B04, 1
B04, Trade, 85513.558, 134, B04, S13, 1
B04, Trade, 85528.750, 129, B04, S07, 1
B04, Trade, 85535.923, 127, B04, S09, 1
B04, Trade, 85551.173, 128, S13, B04, 1
B04, Trade, 85560.058, 129, B04, S17, 1
B04, Trade, 85578.077, 131, S14, B04, 1
B04, Trade, 85596.327, 124, B04, S17, 1
B04, Trade, 85600.827, 123, S19, B04, 1
B04, Trade, 85633.558, 132, S09, B04, 1
B04, Trade, 85652.096, 133, S11, B04, 1
B04, Trade, 85658.327, 135, S08, B04, 1
B04, Trade, 85680.462, 129, S00, B04, 1
B04, Trade, 85691.865, 128, B04, S22, 1
B04, Trade, 85700.385, 130, B04, S12, 1
B04, Trade, 85713.808, 133, S10, B04, 1
B04, Trade, 85732.750, 131, B04, S01, 1
B04, Trade, 85745.346, 127, B04, S13, 1
B04, Trade, 85754.885, 134, S19, B04, 1
B04, Trade, 85774.212, 137, B04, S03, 1
B04, Trade, 85777.308, 146, B04, S10, 1
B04, Trade, 85799.058, 136, S15, B04, 1
B04, Trade, 85813.385, 124, B04, S24, 1
B04, Trade, 85843.058, 135, S03, B04, 1
B04, Trade, 85852.385, 132, S10, B04, 1
B04, Trade, 85859.308, 129, B04, S15, 1
B04, Trade, 85866.385, 134, S05, B04, 1
B04, Trade, 85886.269, 130, B04, S12, 1
B04, Trade, 85894.269, 125, B04, S09, 1
B04, Trade, 85894.885, 127, S15, B04, 1
B04, Trade, 85915.865, 129, S15, B04, 1
B04, Trade, 85923.942, 133, S04, B04, 1
B04, Trade, 85931.404, 139, S16, B04, 1
B04, Trade, 85947.712, 127, P00, B04, 1
B04, Trade, 85970.442, 130, P00, B04, 1
B04, Trade, 85983.923, 131, B04, S12, 1
B04, Trade, 85991.135, 134, S04, B04, 1
B04, Trade, 86009.673, 135, B04, S24, 1
B04, Trade, 86028.462, 129, S15, B04, 1
B04, Trade, 86043.577, 132, B04, S24, 1
B04, Trade, 86056.019, 135, S14, B04, 1
B04, Trade, 86074.385, 125, S18, B04, 1
B04, Trade, 86076.365, 132, S23, B04, 1
B04, Trade, 86092.250, 131, S15, B04, 1
B04, Trade, 86107.442, 129, S05, B04, 1
B04, Trade, 86120.615, 133, S19, B04, 1
B04, Trade, 86129.250, 131, B04, S21, 1
B04, Trade, 86145.038, 130, P00, B04, 1
B04, Trade, 86170.712, 130, S15, B04, 1
