B04, Trade, 86342.788, 166, P01, B04, 1
B04, Trade, 86354.712, 165, B04, S21, 1
B04, Trade, 86358.673, 171, S04, B04, 1
B04, Trade, 86383.885, 166, S01, B04, 1
B04, Trade, 86392.462, 167, B04, S05, 1
B04, Trade, 86396.942, 170, S19, B04, 1
B05, 100
B05, Trade, 85117.885, 169, B05, S02, 1
B05, Trade, 85151.481, 170, B05, S09, 1
B05, Trade, 85153.327, 171, S24, B05, 1
B05, Trade, 85163.231, 170, S18, B05, 1
B05, Trade, 85178.904, 163, B05, S11, 1
B05, Trade, 85186.827, 163, B05, S01, 1
B05, Trade, 85197.385, 167, S04, B05, 1
B05, Trade, 85209.308, 169, B05, S02, 1
B05, Trade, 85221.865, 162, P01, B05, 1
B05, Trade, 85252.538, 166, B05, S12, 1
B05, Trade, 85253.481, 173, S04, B05, 1
B05, Trade, 85271.923, 156, S24, B05, 1
B05, Trade, 85279.923, 163, B05, S18, 1
B05, Trade, 85290.981, 167, B05, S22, 1
B05, Trade, 85311.442, 164, B05, S21, 1
B05, Trade, 85329.923, 168, S13, B05, 1
B05, Trade, 85338.115, 166, B05, S05, 1
B05, Trade, 85361.904, 165, B05, S15, 1
B05, Trade, 85379.462, 159, B05, S19, 1
B05, Trade, 85382.577, 172, S22, B05, 1
B05, Trade, 85397.519, 162, S03, B05, 1
B05, Trade, 85414.558, 170, B05, S01, 1
B05, Trade, 85432.538, 166, S14, B05, 1
B05, Trade, 85438.346, 165, P01, B05, 1
B05, Trade, 85448.788, 161, B05, S13, 1
B05, Trade, 85461.038, 172, B05, S10, 1
B05, Trade, 85471.038, 165, B05, S21, 1
B05, Trade, 85490.135, 173, S04, B05, 1
B05, Trade, 85512.481, 168, P01, B05, 1
B05, Trade, 85518.000, 167, S17, B05, 1
B05, Trade, 85538.154, 160, B05, S20, 1
B05, Trade, 85542.423, 171, S16, B05, 1
B05, Trade, 85552.635, 164, B05, S04, 1
B05, Trade, 85565.346, 169, S15, B05, 1
B05, Trade, 85581.269, 163, B05, S20, 1
B05, Trade, 85593.558, 171, B05, S24, 1
B05, Trade, 85598.962, 169, B05, S12, 1
B05, Trade, 85604.308, 167, S09, B05, 1
B05, Trade, 85615.769, 166, B05, S17, 1
B05, Trade, 85629.750, 169, S23, B05, 1
B05, Trade, 85640.077, 166, B05, S17, 1
B05, Trade, 85645.423, 168, S17, B05, 1
B05, Trade, 85663.192, 167, B05, S01, 1
B05, Trade, 85671.115, 165, B05, S02, 1
B05, Trade, 85683.269, 164, B05, S19, 1
B05, Trade, 85692.808, 170, S08, B05, 1
B05, Trade, 85700.577, 166, B05, S23, 1
B05, Trade, 85719.769, 167, S12, B05, 1
B05, Trade, 85730.019, 165, B05, S02, 1
B05, Trade, 85733.212, 166, S17, B05, 1
B05, Trade, 85750.481, 168, B05, S23, 1
B05, Trade, 85755.865, 166, B05, S22, 1
B05, Trade, 85765.654, 165, S00, B05, 1
B05, Trade, 85784.423, 159, B05, S08, 1
B05, Trade, 85787.827, 161, B05, S14, 1
B05, Trade, 85802.827, 166, B05, S22, 1
B05, Trade, 85805.904, 170, S24, B05, 1
B05, Trade, 85821.904, 163, B05, S13, 1
